SP-[1] Epoch: 1/1800 | Time: 0m04s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.81  Acc 40.10% | Val: Loss -0.46  Acc(top1) 26.14% | HA 0.00@0

SP-[1] Epoch: 2/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.76  Acc 49.35% | Val: Loss nan  Acc(top1) 26.70% | HA 0.00@0

SP-[1] Epoch: 3/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.73  Acc 50.39% | Val: Loss nan  Acc(top1) 27.84% | HA 0.00@0

SP-[1] Epoch: 4/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.70  Acc 53.39% | Val: Loss nan  Acc(top1) 31.25% | HA 0.00@0

SP-[1] Epoch: 5/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.71  Acc 49.35% | Val: Loss nan  Acc(top1) 27.84% | HA 0.00@0

SP-[1] Epoch: 6/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.68  Acc 53.91% | Val: Loss nan  Acc(top1) 38.07% | HA 0.00@0

SP-[1] Epoch: 7/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.70  Acc 48.70% | Val: Loss nan  Acc(top1) 40.91% | HA 0.00@0

SP-[1] Epoch: 8/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.69  Acc 52.47% | Val: Loss nan  Acc(top1) 39.20% | HA 0.00@0

SP-[1] Epoch: 9/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.66  Acc 55.60% | Val: Loss nan  Acc(top1) 38.07% | HA 0.00@0

SP-[1] Epoch: 10/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.65  Acc 54.95% | Val: Loss nan  Acc(top1) 39.77% | HA 0.00@0

SP-[1] Epoch: 11/1800 | Time: 0m03s (Train 0m03s  Val 0m00s) | Train: LR 0.1  Loss 0.68  Acc 52.34% | Val: Loss nan  Acc(top1) 46.02% | HA 0.00@0

