SP-[1] Epoch: 1/1600 | Time: 0m06s (Train 0m05s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.89  Acc 30.92% | Val: Loss -0.36  Acc(top1) 42.27% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.82  Acc 34.49% | Val: Loss nan  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.77  Acc 37.83% | Val: Loss nan  Acc(top1) 41.30% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.75  Acc 39.73% | Val: Loss nan  Acc(top1) 46.62% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.72  Acc 43.86% | Val: Loss nan  Acc(top1) 48.79% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.70  Acc 47.99% | Val: Loss nan  Acc(top1) 52.90% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.72  Acc 47.77% | Val: Loss nan  Acc(top1) 40.34% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.69  Acc 51.45% | Val: Loss nan  Acc(top1) 49.28% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.68  Acc 52.12% | Val: Loss nan  Acc(top1) 42.27% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.66  Acc 54.46% | Val: Loss nan  Acc(top1) 46.14% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.76  Acc 42.08% | Val: Loss nan  Acc(top1) 30.68% | HA 0.00@0

SP-[1] Epoch: 12/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.67  Acc 53.24% | Val: Loss nan  Acc(top1) 55.80% | HA 0.00@0

SP-[1] Epoch: 13/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.67  Acc 53.01% | Val: Loss nan  Acc(top1) 52.17% | HA 0.00@0

SP-[1] Epoch: 14/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.64  Acc 55.36% | Val: Loss nan  Acc(top1) 55.07% | HA 0.00@0

SP-[1] Epoch: 15/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.63  Acc 55.92% | Val: Loss nan  Acc(top1) 48.07% | HA 0.00@0

SP-[1] Epoch: 16/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.62  Acc 54.69% | Val: Loss nan  Acc(top1) 37.44% | HA 0.00@0

SP-[1] Epoch: 17/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.64  Acc 57.14% | Val: Loss nan  Acc(top1) 59.18% | HA 0.00@0

SP-[1] Epoch: 18/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.61  Acc 57.70% | Val: Loss nan  Acc(top1) 53.14% | HA 0.00@0

