SP-[1] Epoch: 1/1600 | Time: 0m05s (Train 0m04s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.51  Acc 47.88% | Val: Loss 0.42  Acc(top1) 25.12% | HA 0.00@0

SP-[1] Epoch: 2/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.37  Acc 57.14% | Val: Loss -0.27  Acc(top1) 51.69% | HA 0.00@0

SP-[1] Epoch: 3/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.29  Acc 64.96% | Val: Loss -0.32  Acc(top1) 51.93% | HA 0.00@0

SP-[1] Epoch: 4/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.26  Acc 71.32% | Val: Loss -0.32  Acc(top1) 51.93% | HA 0.00@0

SP-[1] Epoch: 5/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.24  Acc 69.20% | Val: Loss -0.30  Acc(top1) 53.14% | HA 0.00@0

SP-[1] Epoch: 6/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.23  Acc 69.98% | Val: Loss -0.32  Acc(top1) 53.86% | HA 0.00@0

SP-[1] Epoch: 7/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.22  Acc 71.43% | Val: Loss -0.31  Acc(top1) 54.11% | HA 0.00@0

SP-[1] Epoch: 8/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.22  Acc 74.67% | Val: Loss -0.36  Acc(top1) 49.03% | HA 0.00@0

SP-[1] Epoch: 9/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.22  Acc 74.11% | Val: Loss -0.35  Acc(top1) 49.52% | HA 0.00@0

SP-[1] Epoch: 10/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.21  Acc 71.43% | Val: Loss -0.27  Acc(top1) 55.07% | HA 0.00@0

SP-[1] Epoch: 11/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.23  Acc 69.42% | Val: Loss -0.18  Acc(top1) 52.90% | HA 0.00@0

SP-[1] Epoch: 12/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 70.54% | Val: Loss -0.38  Acc(top1) 47.10% | HA 0.00@0

SP-[1] Epoch: 13/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 77.01% | Val: Loss -0.34  Acc(top1) 51.69% | HA 0.00@0

SP-[1] Epoch: 14/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.21  Acc 75.22% | Val: Loss -0.27  Acc(top1) 53.62% | HA 0.00@0

SP-[1] Epoch: 15/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.20  Acc 75.45% | Val: Loss -0.24  Acc(top1) 55.31% | HA 0.00@0

SP-[1] Epoch: 16/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 75.45% | Val: Loss -0.19  Acc(top1) 56.52% | HA 0.00@0

SP-[1] Epoch: 17/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 77.68% | Val: Loss -0.33  Acc(top1) 51.93% | HA 0.00@0

SP-[1] Epoch: 18/1600 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.18  Acc 80.36% | Val: Loss -0.32  Acc(top1) 52.66% | HA 0.00@0

