SP-[1] Epoch: 1/1900 | Time: 0m05s (Train 0m04s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.84  Acc 29.91% | Val: Loss 1.34  Acc(top1) 31.64% | HA 0.00@0

SP-[1] Epoch: 2/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.73  Acc 49.67% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 3/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.70  Acc 48.44% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 4/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.67  Acc 50.00% | Val: Loss nan  Acc(top1) 45.65% | HA 0.00@0

SP-[1] Epoch: 5/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.65  Acc 52.23% | Val: Loss nan  Acc(top1) 45.65% | HA 0.00@0

SP-[1] Epoch: 6/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.62  Acc 52.90% | Val: Loss nan  Acc(top1) 47.10% | HA 0.00@0

SP-[1] Epoch: 7/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.62  Acc 53.79% | Val: Loss nan  Acc(top1) 48.31% | HA 0.00@0

SP-[1] Epoch: 8/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.60  Acc 54.91% | Val: Loss nan  Acc(top1) 51.69% | HA 0.00@0

SP-[1] Epoch: 9/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.60  Acc 53.24% | Val: Loss nan  Acc(top1) 51.21% | HA 0.00@0

