SP-[1] Epoch: 1/1900 | Time: 0m05s (Train 0m04s  Val 0m01s) | Train: LR 0.010000000000000002  Loss 0.81  Acc 34.60% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 2/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.73  Acc 48.77% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 3/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.72  Acc 47.66% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 4/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.70  Acc 49.22% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 5/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.68  Acc 51.12% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 6/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.67  Acc 52.01% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 7/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.66  Acc 51.67% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 8/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.63  Acc 53.46% | Val: Loss nan  Acc(top1) 45.65% | HA 0.00@0

SP-[1] Epoch: 9/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.64  Acc 51.67% | Val: Loss nan  Acc(top1) 48.07% | HA 0.00@0

SP-[1] Epoch: 10/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.67  Acc 52.90% | Val: Loss nan  Acc(top1) 47.58% | HA 0.00@0

SP-[1] Epoch: 11/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.63  Acc 54.35% | Val: Loss nan  Acc(top1) 52.42% | HA 0.00@0

SP-[1] Epoch: 12/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.62  Acc 55.47% | Val: Loss nan  Acc(top1) 49.76% | HA 0.00@0

SP-[1] Epoch: 13/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.64  Acc 52.79% | Val: Loss nan  Acc(top1) 46.62% | HA 0.00@0

SP-[1] Epoch: 14/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.59  Acc 55.92% | Val: Loss nan  Acc(top1) 47.10% | HA 0.00@0

SP-[1] Epoch: 15/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.62  Acc 55.47% | Val: Loss nan  Acc(top1) 49.52% | HA 0.00@0

SP-[1] Epoch: 16/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.58  Acc 54.91% | Val: Loss nan  Acc(top1) 49.52% | HA 0.00@0

SP-[1] Epoch: 17/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.57  Acc 55.92% | Val: Loss nan  Acc(top1) 51.21% | HA 0.00@0

SP-[1] Epoch: 18/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.58  Acc 53.68% | Val: Loss nan  Acc(top1) 51.21% | HA 0.00@0

SP-[1] Epoch: 19/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.60  Acc 53.91% | Val: Loss nan  Acc(top1) 57.73% | HA 0.00@0

SP-[1] Epoch: 20/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.010000000000000002  Loss 0.59  Acc 55.69% | Val: Loss nan  Acc(top1) 49.28% | HA 0.00@0

SP-[1] Epoch: 21/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.63  Acc 54.91% | Val: Loss nan  Acc(top1) 54.11% | HA 0.00@0

SP-[1] Epoch: 22/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.58  Acc 55.13% | Val: Loss nan  Acc(top1) 50.72% | HA 0.00@0

SP-[1] Epoch: 23/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.58  Acc 60.27% | Val: Loss -0.41  Acc(top1) 45.41% | HA 0.00@0

SP-[1] Epoch: 24/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.56  Acc 59.26% | Val: Loss nan  Acc(top1) 46.14% | HA 0.00@0

SP-[1] Epoch: 25/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.54  Acc 62.05% | Val: Loss nan  Acc(top1) 47.10% | HA 0.00@0

SP-[1] Epoch: 26/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.55  Acc 61.27% | Val: Loss nan  Acc(top1) 50.48% | HA 0.00@0

SP-[1] Epoch: 27/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.51  Acc 64.40% | Val: Loss nan  Acc(top1) 52.42% | HA 0.00@0

SP-[1] Epoch: 28/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.56  Acc 60.49% | Val: Loss nan  Acc(top1) 56.28% | HA 0.00@0

SP-[1] Epoch: 29/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 64.40% | Val: Loss nan  Acc(top1) 47.34% | HA 0.00@0

SP-[1] Epoch: 30/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 63.39% | Val: Loss nan  Acc(top1) 51.45% | HA 0.00@0

SP-[1] Epoch: 31/1900 | Time: 0m04s (Train 0m04s  Val 0m00s) | Train: LR 0.1  Loss 0.52  Acc 64.62% | Val: Loss nan  Acc(top1) 54.35% | HA 0.00@0

